row_id,booking,arrival,resolved,lead_time,arrival_month,stays_in_weekend_nights,stays_in_week_nights,hotel,meal,market_segment,distribution_channel,reserved_room_type,customer_type,target
7,2015-07-01,2015-07-01,2015-07-03,0,7,0,2,Resort Hotel,BB,Direct,Direct,C,Transient,0
19,2015-07-01,2015-07-01,2015-07-02,0,7,0,1,Resort Hotel,BB,Corporate,Corporate,A,Transient,0
55,2015-07-01,2015-07-02,2015-07-03,1,7,0,1,Resort Hotel,BB,Online TA,TA/TO,H,Transient,0
56,2015-07-01,2015-07-02,2015-07-03,1,7,0,1,Resort Hotel,BB,Direct,Direct,C,Transient,0
73,2015-07-01,2015-07-03,2015-07-05,2,7,0,2,Resort Hotel,HB,Offline TA/TO,TA/TO,A,Transient,0
78,2015-07-01,2015-07-03,2015-07-07,2,7,2,2,Resort Hotel,BB,Online TA,TA/TO,A,Transient,0
212,2015-07-01,2015-07-08,2015-07-12,7,7,0,4,Resort Hotel,BB,Online TA,TA/TO,A,Transient,0
1254,2015-07-01,2015-08-21,2015-08-27,51,8,2,4,Resort Hotel,HB,Online TA,TA/TO,A,Transient,0
1258,2015-07-01,2015-08-21,2015-08-27,51,8,2,4,Resort Hotel,HB,Direct,Direct,D,Transient,0
1341,2015-07-01,2015-08-24,2015-07-29,54,8,2,5,Resort Hotel,BB,Direct,Direct,E,Transient,1
1371,2015-07-01,2015-08-27,2015-07-06,57,8,0,3,Resort Hotel,HB,Online TA,TA/TO,A,Transient,1
1372,2015-07-01,2015-08-27,2015-07-02,57,8,1,3,Resort Hotel,HB,Offline TA/TO,TA/TO,A,Transient,1
1376,2015-07-01,2015-08-27,2015-07-02,57,8,1,3,Resort Hotel,HB,Offline TA/TO,TA/TO,A,Transient,1
1429,2015-07-01,2015-08-29,2015-07-06,59,8,1,1,Resort Hotel,BB,Online TA,TA/TO,E,Transient,1
15648,2015-07-01,2015-07-27,2015-07-30,26,7,1,2,Resort Hotel,BB,Online TA,TA/TO,A,Transient-Party,0
15649,2015-07-01,2015-07-27,2015-07-30,26,7,1,2,Resort Hotel,BB,Online TA,TA/TO,D,Transient-Party,0
15650,2015-07-01,2015-07-27,2015-07-30,26,7,1,2,Resort Hotel,BB,Online TA,TA/TO,D,Transient-Party,0
15769,2015-07-01,2015-07-26,2015-08-02,25,7,2,5,Resort Hotel,BB,Online TA,TA/TO,E,Transient,0
16101,2015-07-01,2015-08-10,2015-08-15,40,8,1,4,Resort Hotel,BB,Online TA,TA/TO,D,Transient,0
16117,2015-07-01,2015-08-10,2015-08-15,40,8,1,4,Resort Hotel,BB,Online TA,TA/TO,E,Transient,0
16165,2015-07-01,2015-08-15,2015-08-17,45,8,1,1,Resort Hotel,BB,Online TA,TA/TO,E,Transient,0
16318,2015-07-01,2015-08-20,2015-08-23,50,8,0,3,Resort Hotel,BB,Online TA,TA/TO,D,Transient,0
16498,2015-07-01,2015-08-24,2015-08-31,54,8,2,5,Resort Hotel,FB,Offline TA/TO,TA/TO,C,Transient,0
16573,2015-07-01,2015-08-27,2015-09-03,57,8,2,5,Resort Hotel,BB,Offline TA/TO,TA/TO,A,Transient,0
57,2015-07-02,2015-07-02,2015-07-03,0,7,0,1,Resort Hotel,BB,Direct,Direct,H,Transient,0
58,2015-07-02,2015-07-02,2015-07-03,0,7,0,1,Resort Hotel,BB,Online TA,TA/TO,A,Transient,0
59,2015-07-02,2015-07-02,2015-07-03,0,7,0,1,Resort Hotel,BB,Direct,Direct,G,Transient,0
